Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,545,233,778,Khawzar,MMR011006
 Rural,2243,1797,4040,Khawzar,MMR011006
 Total,2788,2030,4818,Khawzar,MMR011006
