Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2356,497,2853,Loilem,MMR014011
 Rural,3668,4380,8048,Loilem,MMR014011
 Total,6024,4877,10901,Loilem,MMR014011
