Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,585,129,714,Mabane,MMR015018
 Rural,5532,2386,7918,Mabane,MMR015018
 Total,6117,2515,8632,Mabane,MMR015018
