Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5997,3149,9146,Tatkon,MMR018003
 Rural,13822,28779,42601,Tatkon,MMR018003
 Total,19819,31928,51747,Tatkon,MMR018003
