Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2279,1071,3350,Thandwe,MMR012015
 Rural,9467,18258,27725,Thandwe,MMR012015
 Total,11746,19329,31075,Thandwe,MMR012015
