Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,6909,1840,8749,Hlegu,MMR013004
 Rural,27970,21304,49274,Hlegu,MMR013004
 Total,34879,23144,58023,Hlegu,MMR013004
