Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3451,558,4009,Hsipaw,MMR015014
 Rural,14587,19310,33897,Hsipaw,MMR015014
 Total,18038,19868,37906,Hsipaw,MMR015014
