Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3096,2161,5257,Zalun,MMR017009
 Rural,12537,24279,36816,Zalun,MMR017009
 Total,15633,26440,42073,Zalun,MMR017009
