Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1631,1043,2674,Kangyidaunt,MMR017002
 Rural,18193,22099,40292,Kangyidaunt,MMR017002
 Total,19824,23142,42966,Kangyidaunt,MMR017002
