Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1133,611,1744,Chaungzon,MMR011003
 Rural,16038,10162,26200,Chaungzon,MMR011003
 Total,17171,10773,27944,Chaungzon,MMR011003
