Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,521,241,762,Kenglat(ST),MMR016009
 Rural,729,985,1714,Kenglat(ST),MMR016009
 Total,1250,1226,2476,Kenglat(ST),MMR016009
