Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,7149,2366,9515,Nyaung U,MMR010022
 Rural,9818,25329,35147,Nyaung U,MMR010022
 Total,16967,27695,44662,Nyaung U,MMR010022
