Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,397,355,752,Minenaung(ST),MMR014015
 Rural,1541,3518,5059,Minenaung(ST),MMR014015
 Total,1938,3873,5811,Minenaung(ST),MMR014015
