Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,396,217,613,Minengaw(ST),MMR015012
 Rural,957,2459,3416,Minengaw(ST),MMR015012
 Total,1353,2676,4029,Minengaw(ST),MMR015012
