Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2616,443,3059,Nyaungshwe,MMR014002
 Rural,21024,18551,39575,Nyaungshwe,MMR014002
 Total,23640,18994,42634,Nyaungshwe,MMR014002
