Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1096,561,1657,Ngazun,MMR010021
 Rural,8341,17840,26181,Ngazun,MMR010021
 Total,9437,18401,27838,Ngazun,MMR010021
