Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,389,230,619,Chinshwehaw(ST),MMR015022
 Rural,236,95,331,Chinshwehaw(ST),MMR015022
 Total,625,325,950,Chinshwehaw(ST),MMR015022
