Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4962,715,5677,Yatsauk,MMR014008
 Rural,11391,8889,20280,Yatsauk,MMR014008
 Total,16353,9604,25957,Yatsauk,MMR014008
