Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1577,656,2233,Momeik,MMR015017
 Rural,5988,5431,11419,Momeik,MMR015017
 Total,7565,6087,13652,Momeik,MMR015017
