Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1769,1780,3549,Hainggyikyun(ST),MMR017004
 Rural,8285,17241,25526,Hainggyikyun(ST),MMR017004
 Total,10054,19021,29075,Hainggyikyun(ST),MMR017004
