Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,942,600,1542,Kunhing,MMR014014
 Rural,1220,1808,3028,Kunhing,MMR014014
 Total,2162,2408,4570,Kunhing,MMR014014
