Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,38,120,158,Taungpyoletwe(ST),MMR012009
 Rural,28,320,348,Taungpyoletwe(ST),MMR012009
 Total,66,440,506,Taungpyoletwe(ST),MMR012009
