Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,16872,8459,25331,Dala,MMR013030
 Rural,6578,6003,12581,Dala,MMR013030
 Total,23450,14462,37912,Dala,MMR013030
