Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3357,1948,5305,Wakema,MMR017017
 Rural,23143,39000,62143,Wakema,MMR017017
 Total,26500,40948,67448,Wakema,MMR017017
