Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3663,2336,5999,Kyonpyaw,MMR017005
 Rural,20431,33058,53489,Kyonpyaw,MMR017005
 Total,24094,35394,59488,Kyonpyaw,MMR017005
