Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,182,102,284,Minekoke(ST),MMR016006
 Rural,639,2279,2918,Minekoke(ST),MMR016006
 Total,821,2381,3202,Minekoke(ST),MMR016006
