Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,35780,5861,41641,Mingaladon,MMR013002
 Rural,18336,6326,24662,Mingaladon,MMR013002
 Total,54116,12187,66303,Mingaladon,MMR013002
