Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1515,45,1560,Minelar,MMR016005
 Rural,1991,1657,3648,Minelar,MMR016005
 Total,3506,1702,5208,Minelar,MMR016005
