Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,399,262,661,Panlon(ST),MMR015021
 Rural,243,281,524,Panlon(ST),MMR015021
 Total,642,543,1185,Panlon(ST),MMR015021
