Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,693,462,1155,Ywarngan,MMR014007
 Rural,4088,13105,17193,Ywarngan,MMR014007
 Total,4781,13567,18348,Ywarngan,MMR014007
