Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1246,590,1836,Indaw(ST),MMR014008
 Rural,3075,3239,6314,Indaw(ST),MMR014008
 Total,4321,3829,8150,Indaw(ST),MMR014008
