Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,11906,4780,16686,Mogok,MMR010011
 Rural,10787,7774,18561,Mogok,MMR010011
 Total,22693,12554,35247,Mogok,MMR010011
