Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3716,967,4683,Kukai,MMR015011
 Rural,5305,9043,14348,Kukai,MMR015011
 Total,9021,10010,19031,Kukai,MMR015011
