Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5783,4271,10054,Phyapon,MMR017023
 Rural,10888,20688,31576,Phyapon,MMR017023
 Total,16671,24959,41630,Phyapon,MMR017023
