Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,564,278,842,Kehsi,MMR014015
 Rural,3416,4643,8059,Kehsi,MMR014015
 Total,3980,4921,8901,Kehsi,MMR014015
