Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,621,854,1475,Kyeintali(ST),MMR012017
 Rural,1138,3468,4606,Kyeintali(ST),MMR012017
 Total,1759,4322,6081,Kyeintali(ST),MMR012017
