Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2243,724,2967,Lamine,MMR011006
 Rural,9992,5680,15672,Lamine,MMR011006
 Total,12235,6404,18639,Lamine,MMR011006
