Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2394,4880,7274,Myauk U,MMR012003
 Rural,4864,29387,34251,Myauk U,MMR012003
 Total,7258,34267,41525,Myauk U,MMR012003
