Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,28,63,91,Monehta(ST),MMR016008
 Rural,92,746,838,Monehta(ST),MMR016008
 Total,120,809,929,Monehta(ST),MMR016008
