Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3128,1126,4254,Kyaukpyu,MMR012011
 Rural,6173,26837,33010,Kyaukpyu,MMR012011
 Total,9301,27963,37264,Kyaukpyu,MMR012011
