Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3246,1290,4536,Hopon,MMR014003
 Rural,8026,12166,20192,Hopon,MMR014003
 Total,11272,13456,24728,Hopon,MMR014003
