Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,25398,6543,31941,Pyin Oo Lwin,MMR010008
 Rural,13111,8330,21441,Pyin Oo Lwin,MMR010008
 Total,38509,14873,53382,Pyin Oo Lwin,MMR010008
