Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,841,1777,2618,Myebon,MMR012006
 Rural,4455,24266,28721,Myebon,MMR012006
 Total,5296,26043,31339,Myebon,MMR012006
