Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4917,2961,7878,Khayan,MMR013026
 Rural,13529,17907,31436,Khayan,MMR013026
 Total,18446,20868,39314,Khayan,MMR013026
