Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2346,356,2702,Patheingyi,MMR010007
 Rural,30373,19915,50288,Patheingyi,MMR010007
 Total,32719,20271,52990,Patheingyi,MMR010007
