Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4094,3489,7583,Mawlamyinegyun,MMR017018
 Rural,20113,47190,67303,Mawlamyinegyun,MMR017018
 Total,24207,50679,74886,Mawlamyinegyun,MMR017018
