Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,6473,3391,9864,Kyauktan,MMR013024
 Rural,10970,12142,23112,Kyauktan,MMR013024
 Total,17443,15533,32976,Kyauktan,MMR013024
