Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2605,826,3431,Phekon,MMR014010
 Rural,8157,8496,16653,Phekon,MMR014010
 Total,10762,9322,20084,Phekon,MMR014010
