Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,468,747,1215,Maei(ST),MMR012016
 Rural,1676,7062,8738,Maei(ST),MMR012016
 Total,2144,7809,9953,Maei(ST),MMR012016
