Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3265,1915,5180,Danubyu,MMR017022
 Rural,14317,25300,39617,Danubyu,MMR017022
 Total,17582,27215,44797,Danubyu,MMR017022
