Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1597,506,2103,Mone`,MMR014019
 Rural,1614,2507,4121,Mone`,MMR014019
 Total,3211,3013,6224,Mone`,MMR014019
