Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5218,4897,10115,Bogale,MMR017024
 Rural,18323,47549,65872,Bogale,MMR017024
 Total,23541,52446,75987,Bogale,MMR017024
