Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3253,1093,4346,Myitthar,MMR010015
 Rural,20351,21320,41671,Myitthar,MMR010015
 Total,23604,22413,46017,Myitthar,MMR010015
