Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3280,1615,4895,Ottarathiri,MMR018008
 Rural,5019,8747,13766,Ottarathiri,MMR018008
 Total,8299,10362,18661,Ottarathiri,MMR018008
