Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,306,121,427,Tontar(ST),MMR016007
 Rural,423,1844,2267,Tontar(ST),MMR016007
 Total,729,1965,2694,Tontar(ST),MMR016007
