Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1025,133,1158,Kunlon,MMR015020
 Rural,5104,4130,9234,Kunlon,MMR015020
 Total,6129,4263,10392,Kunlon,MMR015020
