Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1134,196,1330,Le`char,MMR014012
 Rural,4057,3403,7460,Le`char,MMR014012
 Total,5191,3599,8790,Le`char,MMR014012
