Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2487,1805,4292,Pantanaw,MMR017020
 Rural,21308,34677,55985,Pantanaw,MMR017020
 Total,23795,36482,60277,Pantanaw,MMR017020
