Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,28124,5975,34099,Lashio,MMR015001
 Rural,16081,14752,30833,Lashio,MMR015001
 Total,44205,20727,64932,Lashio,MMR015001
