Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4627,1315,5942,Hmawby,MMR013003
 Rural,31452,19075,50527,Hmawby,MMR013003
 Total,36079,20390,56469,Hmawby,MMR013003
