Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,387,199,586,Minelon(ST),MMR015012
 Rural,1734,3536,5270,Minelon(ST),MMR015012
 Total,2121,3735,5856,Minelon(ST),MMR015012
