Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,784,1009,1793,Tagaung,MMR010012
 Rural,1776,3823,5599,Tagaung,MMR010012
 Total,2560,4832,7392,Tagaung,MMR010012
