Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1036,1026,2062,Buthidaung,MMR012010
 Rural,1619,7583,9202,Buthidaung,MMR012010
 Total,2655,8609,11264,Buthidaung,MMR012010
