Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,840,149,989,Mineyan,MMR016003
 Rural,4921,4209,9130,Mineyan,MMR016003
 Total,5761,4358,10119,Mineyan,MMR016003
